Descriptions;rico_id_0;annotation_0;rico_id_1;annotation_1;rico_id_2;annotation_2;rico_id_3;annotation_3;rico_id_4;annotation_4;rico_id_5;annotation_5;rico_id_6;annotation_6;rico_id_7;annotation_7;rico_id_8;annotation_8;rico_id_9;annotation_9;rico_id_10;annotation_10;rico_id_11;annotation_11;rico_id_12;annotation_12;rico_id_13;annotation_13;rico_id_14;annotation_14;rico_id_15;annotation_15;rico_id_16;annotation_16;rico_id_17;annotation_17;rico_id_18;annotation_18;rico_id_19;annotation_19
A page from map app, showing that in the settings of the map, you can choose to show in the map the natural occurences or disasters which might happen in your daily life.;232;0;240;1;1455;0;1465;1;1467;1;7396;1;8318;1;11060;1;31979;0;32924;1;33156;1;38917;1;41738;1;43609;0;51822;0;58917;0;61568;1;62043;0;62047;1;70023;0
The GUI of a music app for creating your own playlists;494;1;504;1;4157;0;4970;0;4971;0;9981;1;14458;0;15819;0;26477;1;39090;1;40384;1;43522;0;47193;0;47194;0;48662;1;55665;1;55669;0;58693;1;67527;0;70546;1
A page from a recipe app, showing a list of soups.;6391;0;7989;0;10374;0;12361;0;15251;0;19817;0;23379;0;25186;0;29116;0;32477;1;37166;0;38660;0;38675;0;45738;0;45740;0;59839;0;59907;0;59920;0;59931;0;66545;0
A page from an online encyclopedia, allowing the user to search and scroll through different articles.;7957;0;13186;1;20710;1;20711;1;23825;0;26242;0;37722;1;40692;1;44774;0;44778;1;47823;1;50403;0;51562;1;53440;1;60020;0;64372;0;65016;1;67645;0;69598;1;71204;0
This is a music plattform where you can stream music.;494;0;3988;1;4030;1;4160;1;5204;1;5311;1;9111;1;15708;1;23266;1;24092;1;31291;1;38437;1;44512;0;48730;1;62235;1;67533;1;68843;1;70546;1;70552;1;71106;1
A page from a recipe app where different recipes with their estimated time are listed;6391;0;7991;1;10374;0;12361;0;14107;1;15251;0;19817;1;25185;1;25186;1;28638;0;29116;0;30134;0;37166;0;38660;0;45730;0;45738;0;59907;0;62610;0;62629;0;66545;0
A page from a Shopping app, allowing the user buy some discounted products.;476;0;2260;0;2566;0;3787;0;4238;1;5116;0;8287;0;8928;0;23355;0;24735;0;26200;0;33319;0;35833;0;39397;1;44817;1;47015;0;63772;1;64425;1;65611;1;69259;0
A page from a music player app to listen to songs or music albums.;3988;1;4039;1;4970;1;5311;1;9111;1;15819;1;17486;1;29187;1;29188;1;29189;1;38437;0;39686;1;40384;1;53010;1;55665;1;62235;1;66165;1;67533;1;68843;1;70546;1
A page from translation app,which can translate spanish into  english.;12092;0;17475;0;27729;0;27730;0;27731;0;27738;0;27742;0;27745;0;29439;0;29441;0;34676;1;35612;0;42070;0;45033;1;52365;0;52372;0;60912;0;60921;0;60922;0;63794;0
A page from a bidding app, where some closed and opened offers are shown.;2356;0;2359;1;6921;0;10477;1;16602;1;16606;1;17438;0;18529;0;19385;0;25949;1;28835;0;30625;0;31958;0;33301;0;33880;0;34931;0;44315;0;50504;0;66625;0;69464;0
A page from a sports news app, showing a list of articles.;1234;1;5184;0;10353;1;25200;1;25275;1;29137;1;30358;1;35004;1;36556;0;39381;1;39545;1;47466;1;47471;1;53559;1;53560;1;54755;1;55275;0;61881;1;64485;1;68428;1
A page from an shopping app, that gives info about a bag.;2566;0;4238;0;7017;1;7327;0;22741;1;23919;1;34511;1;35833;0;36138;1;47018;0;53485;0;53486;0;58081;1;58089;0;62337;0;62338;0;65611;0;67875;0;69255;1;69262;1
This shows the upcoming shows in the personal calender whether it is a new season or a new film.;4275;0;8303;0;9411;0;11316;0;14112;0;16956;0;21013;0;24477;0;29454;0;36680;0;37214;0;39811;0;41021;0;42251;0;52066;1;54058;0;54298;0;56027;0;68824;0;72060;0
A sports team app GUI, that lists information about  schedule, news and team.;361;1;5174;1;5418;1;5419;1;5439;1;5763;1;18950;1;20375;1;20384;1;21400;0;25281;1;29137;0;36556;0;37033;0;39868;1;42736;1;49902;0;55446;0;69127;0;71462;0
A start page of an unspecified app, where an account can be created or a login with existing accounts is possible.;4939;1;5195;1;5945;1;6741;1;19117;0;20432;0;23576;0;31687;0;37641;1;40497;0;47741;1;49403;1;50499;1;54987;1;56096;1;57639;1;59354;1;62309;0;62455;0;66318;1
an app's search page offering a pre-selection of recipes for different categories of healthy meals.;3671;0;4781;1;4792;0;4793;0;9269;0;10374;0;12361;0;14111;0;15251;0;17651;0;21272;0;23379;1;25186;0;25752;0;37166;0;45738;0;45740;0;59907;0;59931;0;62610;0
A page from an app to track the own night's dreams by writing or voice recording.;3434;0;20323;0;20330;1;22493;0;25320;0;31204;0;33924;1;33981;0;37133;1;37147;0;37545;0;46641;1;52571;1;56373;0;56449;0;59743;0;59744;0;66947;0;66954;0;70077;0
A page from a storage app, allowing users to examine and delete installed apps on the phone or SDcard.;6747;0;8780;0;14674;0;20457;0;21573;0;23005;0;31687;0;39118;0;40125;1;40150;0;40743;0;42971;0;45092;0;47363;0;48930;1;64604;0;66907;0;67211;0;69612;0;69962;1
This is a radio player app and is basically used to listen via the internet to every kind of radio from all over the world.;642;1;3988;0;5204;1;5311;0;8755;1;9111;0;12286;1;12942;1;14452;1;14458;1;14460;1;36466;1;38112;1;38437;0;48242;0;48730;0;52049;1;52790;1;56754;1;68843;0
A GUI from a clothing app showing various categories like New Arrivals, Women, Men, Home, etc.;7332;0;14867;1;15663;1;25962;0;28840;1;31880;0;31883;1;34503;1;36002;0;41566;1;50960;0;50971;1;50981;0;50982;0;50986;1;53486;0;58089;1;59801;0;66963;0;67868;1
A page showing notification settings of a weather application in a selected  location. You can toggle under which circumstances the app notifies you as well as how you will be notified in case of alerts.;2040;1;4588;1;4948;1;7265;1;7724;0;23106;1;25040;1;25250;0;29887;0;30100;1;32918;1;38916;1;42235;1;42899;0;45825;1;48043;1;50613;1;51155;1;64318;1;71033;0
A page from a tableware shopping app, allowing users to search for an item, scan a barcode or look for a category of tableware.;2566;0;3671;0;4238;0;8287;0;8928;0;14718;0;15156;0;21544;0;24735;0;25752;0;28269;0;33040;0;35833;0;45731;1;53486;0;54229;1;58089;0;64425;0;65611;0;69262;0
A page from a weather app, showing the weather forecast hourly of where you currently are.;232;1;2894;1;4013;1;4948;1;9745;1;9825;1;26931;1;28346;1;28347;1;28767;1;29887;1;36653;1;37964;1;42636;1;48737;1;48745;0;61561;1;64647;1;69983;1;71033;0
A page from an app to buy different items from people in the own city or region using keywords, categories and the own location to generate suggestions.;2566;0;3787;0;4238;0;7898;1;8287;0;14718;0;15156;0;15663;0;23355;0;33040;0;35833;0;38078;0;41566;0;46359;0;54229;0;54795;0;58089;0;65611;0;69253;1;69262;0
The page concerning one particular child in a journal app to keep track of various stages of its development;13807;0;14736;1;21573;0;22493;0;28164;1;33978;1;37081;1;41629;1;41637;0;47000;1;47688;1;48531;1;57488;1;57489;1;57496;1;58671;0;60469;1;69351;0;69942;1;69944;1
A page from a study app, that shows the latest study-sessions.;1059;0;6747;0;8355;0;13807;0;14312;0;17070;0;30591;0;37625;1;37637;1;39286;1;41735;1;44443;1;46632;0;46651;0;52766;0;57908;0;58020;0;62652;0;67826;0;71716;1
A page from public transportation app,showing the wy from one place to  the other place.;5003;0;5107;0;7007;0;7373;0;7374;0;7375;0;12189;1;15990;0;24245;0;27316;1;28619;1;30748;1;38741;0;39878;0;46769;0;56272;0;58437;0;61599;1;63381;0;69062;0
A page from a news app, where the top stories are shown.;281;1;7752;1;9611;1;10228;1;24016;1;24140;1;32228;1;45613;1;46198;1;47879;1;50607;1;52849;0;59235;1;61203;0;61866;1;61873;1;61877;1;64478;1;65974;1;67610;0
The page shows a form which has to filled out, to submit a picture. The user has to state his or her email, the title of the picture and is free to give a description. The location has to be stated as well and one has to agree to the terms of submission;1883;0;9167;0;10210;1;10742;0;13117;0;13455;0;14731;0;15404;0;16850;0;17285;0;26580;0;35068;0;40578;1;45864;1;48762;0;60587;0;62322;0;62871;0;66382;0;70176;0
A page from online-shopping app,showing the bicycle details and price.;477;0;1139;0;2566;0;3787;0;4238;0;15857;0;23359;0;33044;0;33060;0;35833;0;36138;0;39397;0;40999;0;44665;1;44668;0;47015;0;47018;0;58140;0;64425;0;65611;0
a GUI from a traiding app,  that shows the value of a specific share;307;0;924;0;14424;0;16108;0;18551;0;21700;1;26035;0;26214;0;31358;0;37458;0;38969;0;42284;0;42707;0;49018;0;50847;0;52212;0;53967;0;62096;0;65455;0;68839;0
A page from the profile of a user in a social network;1151;1;3546;1;9261;1;10248;0;11309;1;18487;1;19435;1;20139;1;27614;1;28030;1;30515;1;32715;1;34408;1;39732;1;47280;1;50314;1;52318;0;58115;0;69496;1;69508;1
The page from a wheater app, showing the current tempreature and other stuff at a specific location and the forecast for the week;232;0;2894;1;4013;0;4948;0;9745;1;14055;0;28346;1;28347;1;28767;1;29887;0;36653;0;37964;0;42636;1;48737;1;48745;0;48751;1;57617;0;59867;1;64276;1;71033;0
a page of a weather app showing different options of videos with information of the weather;2894;0;4013;0;4948;0;10041;1;23397;1;25107;0;28347;0;28767;0;36332;0;37961;1;38707;1;41669;0;48737;0;48745;0;48756;0;54052;1;57617;0;64312;0;71033;0;71691;1
A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified;5138;0;8598;1;11232;1;17085;0;20419;1;21544;0;25752;0;27248;1;27591;0;29875;0;29955;0;42034;0;42322;1;46497;0;48675;1;50081;0;63096;0;63102;0;63158;0;69699;1
A page from the settings - options from an app, showing diefferent options;8381;1;10615;1;12252;1;13217;1;19448;1;22109;1;23764;1;25730;1;28292;0;29583;1;29868;1;35771;0;41678;1;42949;1;47907;1;54685;1;54699;1;55800;1;64782;1;68272;1
A registration GUI that requires personal information from new users and show subscribtion options.;213;1;1202;1;1396;1;11648;1;14093;1;20430;0;20729;1;23797;0;24189;1;25507;1;26284;1;33534;1;34661;1;36973;1;39194;1;39541;1;40192;0;42485;0;43981;0;59707;0
A page from a trip booking app, users can enter information about destination, travel time, people who travel etc. to search for options to sleep in.;6151;1;7603;1;9721;1;14766;1;18826;1;21716;1;23283;0;26502;1;28236;1;29343;0;34022;0;46690;1;46691;1;46694;0;49680;1;50917;0;54553;0;61295;1;61300;1;65948;0
This is a plattform which helps you finding the right and the next possible shops for your enquirries.;7898;0;11233;1;11471;0;14718;0;16654;0;25975;1;33040;0;34715;0;38383;1;40643;1;40796;1;41566;0;47358;0;51962;1;54325;1;54329;0;58084;1;58089;0;62919;1;69262;0
A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.;12092;0;27151;0;27729;0;27730;0;27731;0;27738;0;27742;0;27745;0;29439;0;29441;0;34676;0;35612;0;42070;0;52365;0;52372;0;60912;0;60921;0;60922;0;63792;0;63794;0
