query,gui_ranking
home page of dictionary with word of day,"[61315, 7799, 8146, 11593, 61333, 61345, 61344, 61339, 61348, 45665, 63971, 48413, 35614, 2266, 71902, 71905, 71913, 30659, 27819, 28481]"
It display the Map with search bar,"[60544, 48325, 66555, 66563, 43743, 52129, 14689, 29647, 52816, 60543, 28540, 62878, 49178, 54527, 65263, 32246, 32239, 30729, 9978, 9970]"
Tiny Scanner,"[60292, 64675, 60293, 64676, 60291, 66873, 66344, 42569, 42568, 62591, 59411, 6134, 33692, 33506, 60307, 6585, 58984, 1764, 6787, 68681]"
Login with radio button with calendar,"[22878, 65193, 59581, 35133, 59568, 47741, 9149, 33336, 54640, 22542, 29481, 59561, 59570, 71519, 71515, 71512, 9559, 35128, 64081, 35129]"
sign up with welcome Bonus,"[34735, 66116, 34739, 42979, 57558, 15879, 10119, 43632, 46962, 53432, 53421, 13707, 41205, 53258, 36003, 36001, 63920, 63931, 1851, 35776]"
a news and an advertisement,"[54133, 7743, 68871, 65048, 51334, 71379, 26746, 16515, 1565, 68816, 68882, 68886, 10809, 60725, 10078, 10090, 7758, 13837, 1570, 64701]"
a sreen to enter the personal details,"[57264, 20780, 20785, 2783, 68242, 58266, 15665, 31142, 32392, 58129, 65494, 50422, 48806, 23654, 20850, 66701, 19835, 53041, 37508, 49259]"
displays the latest news in page,"[3318, 54133, 53555, 16515, 23820, 47802, 70822, 68523, 36328, 36310, 39554, 56160, 42736, 71379, 15067, 20452, 65007, 1205, 23219, 18565]"
celebrity news,"[64845, 35531, 62374, 8198, 50096, 13837, 54133, 71379, 1570, 16515, 1565, 18870, 43824, 39166, 43051, 36553, 66386, 62454, 62518, 41590]"
2D graph with a point and its dimensions,"[61057, 54498, 54499, 54506, 54503, 51884, 20334, 20329, 28171, 28178, 18785, 44202, 54502, 12651, 2182, 10143, 68768, 64823, 28616, 36669]"
blood glucose tracker side bar,"[47499, 47504, 47505, 8520, 5816, 47502, 47503, 4688, 57507, 51782, 37821, 71582, 64939, 4503, 5803, 58146, 39596, 39600, 69142, 68962]"
Japanese anime books and ads,"[50541, 57209, 40153, 14602, 24769, 1616, 26793, 4000, 25345, 61351, 52517, 22216, 24714, 22219, 6968, 39171, 39173, 25397, 62637, 45340]"
"weather details with temperature, pressure and relative humidity","[53167, 37413, 35327, 36325, 54919, 25852, 46540, 28349, 26022, 51071, 54533, 36332, 66930, 63695, 65446, 54924, 58863, 68011, 29312, 25849]"
details for disclaimer,"[39263, 24293, 46997, 39211, 46418, 63619, 41826, 38067, 39212, 32973, 16662, 70874, 67984, 49259, 62943, 62940, 40654, 40640, 40641, 10772]"
information description with login button,"[32639, 13352, 42470, 5593, 7293, 16266, 46884, 19432, 25112, 61528, 27758, 69952, 71511, 12865, 61236, 63601, 63599, 29177, 61167, 33358]"
google map with details,"[70756, 2210, 2211, 2209, 42723, 53736, 12388, 63609, 63614, 12353, 60544, 13257, 13254, 16910, 57641, 56256, 2543, 2754, 24475, 56275]"
2D model of solunar clock,"[54641, 54642, 29683, 31205, 44683, 69797, 54643, 17913, 30607, 47241, 47254, 38688, 24037, 24042, 24027, 3294, 18248, 3856, 40998, 23601]"
add location by pinning the place,"[40686, 61703, 3924, 3920, 62872, 43193, 1469, 10610, 71246, 43184, 9898, 50631, 45909, 59525, 8574, 64888, 64897, 64891, 28150, 28124]"
various emojis,"[62124, 39106, 61714, 38291, 38363, 22928, 10909, 13442, 38349, 26243, 70498, 70500, 4205, 37295, 6854, 2524, 64948, 46156, 17567, 71]"
football match details with upcoming match information,"[57925, 30357, 15554, 24991, 57926, 57923, 53563, 43102, 54752, 51475, 51476, 43109, 10622, 13890, 13906, 13896, 13895, 13915, 13898, 13903]"
"SOY LUNA MUSICA-Disney Channel Latin America, all shows and broadcast musical TV series","[37233, 37236, 37232, 11383, 56994, 56991, 3991, 31527, 56998, 11384, 26031, 3989, 61463, 6257, 61538, 35701, 70058, 70056, 9015, 35694]"
informations about Grace Chan,"[17255, 36565, 39318, 61853, 1080, 37862, 37842, 37852, 43064, 30994, 30990, 70405, 545, 27807, 50993, 29521, 29515, 66725, 61860, 39317]"
UI for share and add location screen,"[22080, 49233, 12147, 68076, 59781, 12355, 41625, 31522, 41623, 40348, 40346, 15312, 7653, 39571, 18958, 15505, 12167, 12162, 40349, 39237]"
Months of a year from January to November with a radio button to choose,"[15298, 48591, 64533, 28181, 42782, 18499, 59581, 9559, 11640, 11642, 56729, 25408, 11977, 60445, 15356, 51056, 57993, 60976, 43422, 12409]"
emoticons of yellow faces to choose from,"[30432, 30433, 30431, 22255, 41700, 37354, 33561, 11632, 31179, 31181, 55875, 68987, 41478, 72194, 28001, 60631, 18792, 61838, 13309, 35887]"
Ui for user profile,"[1583, 40818, 62147, 60542, 3701, 49799, 67745, 47364, 39606, 39237, 10203, 40348, 40346, 40556, 7653, 41623, 24785, 7740, 10217, 40349]"
word levels,"[23247, 35547, 37849, 54891, 18097, 19209, 4252, 4250, 61828, 57064, 23179, 48413, 11674, 63973, 45690, 12117, 29261, 29265, 29258, 57067]"
contact details form,"[25713, 2837, 15513, 6861, 65494, 29981, 64300, 64299, 66701, 66696, 59279, 3372, 46777, 10286, 54543, 17044, 15867, 39054, 15038, 15043]"
List of blocked accounts and contacts,"[19618, 57178, 3444, 44156, 44159, 44151, 44153, 63748, 35058, 44157, 27392, 31533, 37277, 10590, 2594, 43097, 52021, 66872, 48823, 44152]"
photo preview app with zoomIn zoomOut options,"[18795, 49337, 20276, 20273, 69708, 13306, 51574, 49456, 19988, 19983, 22596, 22591, 35897, 31109, 20057, 36316, 36321, 18796, 18799, 5847]"
page that display the questions  with options,"[30849, 56520, 44436, 52303, 50286, 4505, 7519, 59470, 59472, 59478, 59473, 37796, 37795, 37797, 66489, 30245, 60424, 71647, 6888, 2274]"
near  important places,"[33755, 12189, 61696, 3370, 9909, 68289, 47302, 9834, 8575, 62260, 7384, 12394, 15689, 66552, 66553, 20147, 20146, 40678, 52949, 69000]"
video editor,"[27482, 27481, 63266, 60343, 27484, 27485, 16, 63264, 60346, 60347, 63717, 13339, 14191, 34997, 53012, 52864, 47530, 3789, 37560, 37568]"
sports news overview,"[20718, 21660, 8775, 25066, 57889, 10803, 48736, 33717, 8522, 21900, 19082, 44253, 44257, 55542, 55540, 10428, 55534, 25989, 5907, 57896]"
Advertisment of FedEx,"[28977, 28977, 28977, 57901, 57903, 57899, 57900, 57898, 10569, 68224, 14416, 24191, 72218, 24189, 24194, 24187, 24186, 24185, 24184, 39664]"
Most demanded news and article,"[56393, 7957, 20344, 37324, 41495, 36173, 5184, 29144, 15775, 37326, 67984, 16503, 1558, 279, 2850, 2856, 15776, 56396, 56394, 7959]"
Tabs for exams and grading,"[49646, 49647, 69218, 70485, 70483, 27586, 70467, 27578, 63517, 63515, 35270, 22375, 43151, 6452, 66048, 28136, 66237, 59312, 52136, 42245]"
List Item with Tab Color,"[67394, 64210, 64203, 26169, 34177, 33037, 6671, 72139, 42872, 55357, 1195, 15176, 1959, 60064, 52235, 65514, 1201, 1190, 1192, 72138]"
learning and play piano online,"[47226, 35079, 32132, 71074, 27261, 50056, 32139, 69231, 32130, 66742, 39479, 31170, 54361, 19219, 60569, 28365, 35826, 58940, 35469, 11744]"
Sign-in with Facebook data in which name or email address included,"[36127, 58933, 58921, 12171, 36900, 33548, 66551, 53687, 45308, 12896, 8660, 37145, 38578, 63986, 29607, 55575, 55571, 50091, 64586, 45119]"
Information screen to add a tabatas in a tabatas list app,"[49328, 37261, 39356, 39361, 49331, 49330, 46524, 71653, 66025, 29727, 29729, 10622, 61110, 66979, 67334, 41333, 57846, 8653, 43988, 41306]"
Review with description,"[33340, 26201, 45100, 40724, 49879, 48526, 70325, 35794, 33086, 27677, 55005, 8171, 48072, 48065, 48066, 70078, 70081, 48008, 45577, 23767]"
NBC news,"[52375, 14239, 2199, 68875, 5202, 68878, 43825, 54133, 37011, 47616, 66596, 66586, 47623, 38418, 17574, 17577, 41778, 41779, 68884, 41777]"
starting screen of Amino,"[28260, 59942, 10274, 10648, 41430, 48501, 47327, 52920, 30214, 30211, 24606, 70183, 70178, 70191, 2018, 70181, 119, 44996, 53935, 10273]"
income and expenses reports,"[26054, 49399, 43696, 43700, 31134, 67407, 55790, 8305, 43716, 64189, 49566, 64802, 53341, 43708, 67405, 67411, 35874, 20843, 35892, 26056]"
"Delivery details input boxes for address and buttons for home, work or other","[66923, 66919, 66920, 2005, 50090, 51940, 51945, 51942, 28235, 50930, 15866, 33699, 43208, 56435, 62030, 4964, 24688, 12061, 14913, 59549]"
a language window with many options,"[70036, 31874, 21600, 62717, 11371, 7653, 1415, 45874, 2947, 14571, 44038, 29111, 57061, 27511, 23517, 27510, 23514, 19585, 65542, 34535]"
search bar with add a favorite,"[30002, 62466, 56670, 28957, 69261, 21772, 25074, 21770, 18218, 11480, 14439, 57528, 23265, 9978, 17489, 18215, 20766, 33458, 27429, 62460]"
a panel app window with its points,"[25084, 25088, 25089, 53258, 53261, 30838, 18289, 52283, 67556, 65150, 65148, 44775, 36074, 30846, 19585, 56042, 43126, 27510, 14494, 14492]"
"feedback request, whether you like it, with options yes or feedback and emojis","[57478, 434, 56895, 26955, 52143, 36415, 59334, 10959, 18829, 13359, 53376, 63986, 50202, 3306, 16326, 31832, 41581, 37569, 17063, 37485]"
best food recipes,"[45732, 21272, 43424, 14226, 14275, 56496, 42422, 8167, 8047, 9269, 6391, 65091, 68771, 9271, 31441, 42421, 60609, 60611, 60614, 13722]"
privacy policy with types of collected information,"[8453, 68681, 56471, 44388, 11203, 17729, 66512, 51365, 8017, 32518, 8573, 65805, 60480, 20727, 48852, 11824, 44917, 11497, 12607, 37511]"
podcast episode screen with download option,"[37191, 37196, 63188, 3560, 37192, 55389, 488, 500, 3552, 3568, 3553, 3558, 5073, 5069, 495, 26032, 34363, 5068, 4313, 4315]"
side panel with share and settings,"[64805, 50505, 50471, 53871, 16250, 16242, 16244, 16246, 16247, 16249, 16253, 16243, 16251, 69142, 68962, 58148, 39596, 4825, 8684, 67254]"
Selection of Doctor's Specialization,"[34401, 2847, 71752, 41119, 24067, 24069, 9138, 24078, 65902, 65898, 65907, 65904, 65906, 60471, 45730, 27091, 44732, 17225, 33768, 69913]"
"tourist app, discover world places, countries and cities","[9717, 9718, 5728, 5729, 26245, 21671, 54548, 26257, 14594, 40902, 54556, 10215, 44295, 53349, 66552, 66553, 62895, 20147, 2794, 46531]"
Media with no search results,"[61555, 15336, 32286, 42462, 42466, 42434, 42453, 42447, 42463, 14778, 14775, 14777, 33825, 26744, 13816, 46601, 71742, 67287, 42442, 42458]"
online dating,"[28655, 64832, 17292, 14553, 64058, 17289, 17294, 17293, 17286, 56407, 15942, 69989, 70005, 69995, 60172, 50639, 66461, 1281, 42733, 42742]"
camera notification message,"[42512, 43317, 62977, 14188, 71513, 66562, 54834, 3427, 60264, 41191, 16080, 39964, 69480, 31393, 40065, 70963, 70961, 70964, 2132, 1628]"
android news website,"[16515, 16508, 13860, 1575, 68818, 71379, 52188, 43061, 33440, 33438, 14880, 14878, 14879, 42541, 15497, 26970, 11492, 25465, 71434, 45838]"
search coffee with location,"[2696, 2703, 49193, 6938, 57262, 13540, 49192, 23775, 2705, 28541, 6932, 50622, 2707, 15613, 53737, 18449, 47031, 44819, 15615, 6937]"
text editing with their options,"[4285, 4396, 23378, 4885, 24726, 16048, 51704, 12304, 34993, 30360, 40026, 28277, 60801, 53507, 48717, 48723, 32308, 50598, 2270, 69444]"
weather application screen's side menu,"[51829, 20721, 31379, 39597, 39599, 31373, 58147, 4748, 19225, 17344, 39486, 68438, 56943, 54279, 17333, 18041, 69136, 22096, 4825, 22104]"
customer complaint service,"[22829, 48828, 45328, 28822, 2779, 5122, 52028, 3453, 31332, 23501, 42698, 6942, 47843, 41171, 60454, 48522, 3521, 14466, 40239, 6930]"
song with the artist picture and pause button,"[71492, 707, 711, 33275, 71490, 54783, 27043, 63179, 44134, 29194, 29617, 33283, 33282, 33281, 23291, 23295, 55483, 33276, 12817, 70393]"
complete your melody,"[46619, 38102, 38103, 70783, 50696, 50697, 23116, 854, 36136, 32194, 32190, 52112, 43202, 32262, 69703, 65833, 20322, 43860, 2071, 13799]"
Genesis + Book + Android,"[62592, 45340, 27400, 11820, 45335, 11815, 34374, 44576, 28508, 29546, 3912, 40933, 40924, 40929, 22200, 22202, 3909, 6383, 6389, 16684]"
Different Language choice keypad,"[45339, 70112, 60557, 19767, 57308, 5816, 42980, 3441, 43322, 8986, 3432, 8976, 8977, 50948, 62582, 12740, 12738, 70977, 65888, 68329]"
menu providing different buttons to change the settings and to get more information,"[68952, 51275, 1380, 1671, 25027, 16204, 50241, 29729, 23123, 36064, 21573, 41333, 60624, 60360, 40104, 50593, 5706, 45304, 66979, 67334]"
live breaking news video with another top stories article and video,"[32890, 37498, 3322, 26446, 68520, 68527, 56755, 71210, 24015, 37740, 37741, 5238, 16808, 16087, 30709, 49053, 63264, 28430, 3319, 803]"
Weekday digest for meal planning,"[66540, 66527, 6044, 5270, 5265, 5262, 5267, 5260, 29388, 29390, 66544, 66532, 3450, 15688, 48742, 48751, 4316, 4834, 4833, 4842]"
Buy atlanta falcons jersey,"[23356, 7591, 23355, 7593, 25062, 21302, 43251, 43110, 17533, 17522, 40660, 59069, 17404, 62503, 49463, 19720, 17828, 36628, 32411, 7590]"
Sidebar with homepage and other options,"[55493, 55494, 55492, 3573, 30733, 30941, 17057, 41355, 17819, 48902, 45615, 37795, 37797, 36460, 67561, 30463, 67559, 67553, 18455, 18457]"
video show of a tattoo,"[51384, 26675, 26674, 21753, 23419, 31044, 60584, 60585, 60587, 28986, 28979, 28985, 46962, 37741, 51375, 46964, 70825, 70826, 12687, 28430]"
Country code listing,"[7300, 37446, 70727, 7952, 7953, 33194, 67583, 63633, 4238, 4243, 69254, 63630, 69267, 51324, 69258, 20638, 69277, 24220, 20640, 69265]"
"book reader with ""Become a Member"" button","[40696, 40693, 13003, 13010, 13004, 13012, 6290, 6289, 52623, 52619, 12997, 59341, 7191, 1078, 50967, 5606, 70606, 40932, 40930, 50327]"
choise of interest,"[5725, 31261, 9292, 10113, 1627, 62106, 2849, 31253, 62098, 9286, 9281, 66440, 9398, 62104, 2194, 65473, 50321, 66380, 64828, 47712]"
Healthy Food options to add in daily Plan,"[55222, 66527, 29389, 13727, 8328, 13173, 13722, 66532, 66538, 66544, 30133, 19171, 30246, 57637, 41103, 57626, 60609, 60611, 60613, 71635]"
Chinese salad recipes,"[43427, 14279, 25399, 917, 8167, 70038, 60444, 10057, 59014, 56501, 12314, 43431, 59930, 6395, 59927, 43426, 17378, 29838, 10064, 30057]"
my net diary with many options,"[8337, 8367, 8370, 39243, 34196, 36671, 42408, 12109, 22500, 18020, 30157, 30158, 30161, 7108, 8329, 8349, 22828, 22830, 59229, 63734]"
"saving items with complete , complete this group manually or exit","[43202, 43209, 32270, 45975, 36136, 32190, 32194, 56936, 16566, 63756, 23762, 44357, 25973, 53549, 69703, 1229, 24733, 24735, 29583, 33303]"
"social app with ask me, gender, ask me, chat options","[5983, 5976, 50314, 31005, 55007, 46259, 11648, 1623, 2452, 12273, 19646, 55011, 27112, 13174, 59474, 10959, 55008, 57095, 57091, 57093]"
Weather details for city with option in Celsius and Fahrenheit,"[32454, 2768, 43248, 28770, 55633, 37413, 14852, 13974, 38916, 68745, 68867, 38374, 68743, 62291, 19707, 67673, 29491, 47122, 24375, 34569]"
menu to choose between different options for organising ebooks,"[32557, 67678, 5231, 70976, 32549, 32551, 32544, 48731, 19705, 47521, 49221, 44864, 22082, 50835, 1250, 2274, 2270, 45956, 45959, 35887]"
