query,gui_ranking
Tabs for exams and grading,"[49646, 49647, 69218, 70485, 70483, 27586, 70467, 27578, 63517, 63515, 35270, 22375, 43151, 66048, 28136, 6452, 52136, 59312, 42245, 66237]"
List Item with Tab Color,"[67394, 26169, 34177, 1195, 33037, 60064, 6671, 55357, 42872, 64210, 64203, 1959, 72139, 72138, 65514, 15176, 52235, 1190, 1201, 1192]"
learning and play piano online,"[47226, 35079, 32132, 71074, 66742, 27261, 50056, 39479, 32139, 32130, 19219, 60569, 28365, 35826, 54361, 58940, 11744, 31170, 35469, 69231]"
Sign-in with Facebook data in which name or email address included,"[36127, 58933, 58921, 12171, 53687, 66551, 36900, 33548, 45308, 63986, 38578, 55575, 55571, 45119, 50091, 64586, 29607, 8660, 12896, 37145]"
Information screen to add a tabatas in a tabatas list app,"[49328, 37261, 39356, 39361, 49331, 49330, 71653, 46524, 66025, 29729, 29727, 10622, 41333, 67334, 41306, 61110, 8653, 57846, 43988, 66979]"
Review with description,"[33340, 40724, 26201, 45100, 49879, 48526, 8171, 70325, 35794, 33086, 70078, 70081, 55005, 27677, 48008, 48072, 48065, 48066, 45577, 23767]"
NBC news,"[52375, 14239, 2199, 68878, 43825, 5202, 68875, 37011, 47616, 66596, 66586, 47623, 54133, 38418, 17577, 17574, 68884, 41778, 41779, 41777]"
starting screen of Amino,"[28260, 59942, 10274, 10648, 41430, 48501, 47327, 52920, 30211, 30214, 24606, 70183, 70178, 70191, 2018, 70181, 119, 44996, 53935, 10273]"
income and expenses reports,"[26054, 67407, 8305, 55790, 43696, 49399, 31134, 43700, 43716, 35892, 49566, 64189, 67405, 64802, 67411, 35874, 43708, 53341, 20843, 26056]"
"Delivery details input boxes for address and buttons for home, work or other","[66919, 66923, 66920, 2005, 50090, 51940, 51945, 51942, 50930, 28235, 56435, 62030, 14913, 12061, 15866, 43208, 4964, 59549, 33699, 24688]"
a language window with many options,"[70036, 31874, 21600, 11371, 7653, 62717, 29111, 14571, 44038, 1415, 45874, 2947, 57061, 23517, 27511, 27510, 23514, 19585, 34535, 65542]"
search bar with add a favorite,"[30002, 69261, 62466, 57528, 56670, 28957, 14439, 25074, 11480, 21772, 21770, 18218, 18215, 9978, 23265, 17489, 27429, 20766, 33458, 62460]"
a panel app window with its points,"[25084, 25088, 25089, 53258, 30838, 18289, 53261, 52283, 65150, 65148, 19585, 67556, 14494, 30846, 36074, 14492, 44775, 43126, 56042, 27510]"
"feedback request, whether you like it, with options yes or feedback and emojis","[57478, 56895, 26955, 434, 36415, 52143, 41581, 31832, 16326, 18829, 13359, 59334, 10959, 53376, 3306, 63986, 50202, 37485, 37569, 17063]"
best food recipes,"[21272, 8167, 8047, 43424, 14226, 56496, 42422, 9269, 6391, 45732, 14275, 65091, 68771, 9271, 31441, 42421, 60609, 60611, 60614, 13722]"
privacy policy with types of collected information,"[8453, 8017, 32518, 68681, 17729, 11203, 56471, 44388, 66512, 8573, 37511, 11824, 44917, 11497, 12607, 60480, 51365, 48852, 65805, 20727]"
podcast episode screen with download option,"[37191, 37196, 37192, 3560, 3558, 3568, 3552, 3553, 63188, 500, 488, 55389, 26032, 5073, 5069, 5068, 34363, 4315, 4313, 495]"
side panel with share and settings,"[64805, 50505, 50471, 53871, 69142, 68962, 58148, 39596, 16251, 16249, 16253, 16247, 16246, 16250, 16242, 16244, 16243, 8684, 4825, 67254]"
Selection of Doctor's Specialization,"[34401, 2847, 71752, 24069, 24067, 9138, 65898, 65907, 65904, 65902, 45730, 17225, 41119, 65906, 27091, 24078, 44732, 60471, 33768, 69913]"
"tourist app, discover world places, countries and cities","[9717, 9718, 21671, 26245, 5728, 5729, 54548, 26257, 53349, 40902, 14594, 54556, 66553, 62895, 66552, 20147, 46531, 2794, 10215, 44295]"
Media with no search results,"[61555, 15336, 32286, 42442, 42458, 42463, 42434, 42453, 42447, 42462, 42466, 14778, 14775, 14777, 46601, 26744, 33825, 13816, 71742, 67287]"
online dating,"[28655, 17292, 64832, 14553, 64058, 17286, 17294, 17293, 15942, 17289, 60172, 69995, 70005, 69989, 50639, 56407, 66461, 42733, 42742, 1281]"
camera notification message,"[16080, 69480, 31393, 42512, 41191, 40065, 70963, 70961, 39964, 3427, 60264, 54834, 62977, 43317, 14188, 71513, 2132, 66562, 1628, 70964]"
android news website,"[16515, 16508, 1575, 13860, 52188, 68818, 71379, 43061, 15497, 42541, 26970, 33440, 33438, 14880, 14878, 14879, 25465, 71434, 45838, 11492]"
search coffee with location,"[2705, 2696, 2703, 2707, 18449, 53737, 28541, 13540, 50622, 57262, 6932, 49193, 49192, 6937, 6938, 44819, 23775, 47031, 15613, 15615]"
text editing with their options,"[4396, 4285, 23378, 4885, 16048, 24726, 51704, 12304, 34993, 30360, 40026, 32308, 2270, 53507, 60801, 48717, 48723, 28277, 50598, 69444]"
weather application screen's side menu,"[51829, 20721, 31379, 58147, 39597, 4748, 19225, 17344, 39486, 68438, 56943, 54279, 17333, 22096, 31373, 4825, 69136, 22104, 18041, 39599]"
customer complaint service,"[22829, 5122, 28822, 45328, 2779, 48828, 42698, 3453, 52028, 23501, 41171, 47843, 6942, 6930, 60454, 48522, 40239, 3521, 31332, 14466]"
song with the artist picture and pause button,"[71492, 707, 711, 71490, 33275, 29194, 27043, 29617, 63179, 54783, 12817, 55483, 70393, 23291, 23295, 33283, 33281, 33282, 33276, 44134]"
complete your melody,"[46619, 38103, 38102, 70783, 50696, 23116, 50697, 20322, 36136, 32194, 32190, 13799, 52112, 43202, 32262, 69703, 65833, 43860, 2071, 854]"
Genesis + Book + Android,"[62592, 45340, 27400, 11820, 11815, 34374, 28508, 45335, 44576, 29546, 40933, 40929, 40924, 6389, 6383, 3909, 22200, 22202, 3912, 16684]"
Different Language choice keypad,"[45339, 70112, 60557, 19767, 42980, 3441, 43322, 8986, 8976, 3432, 8977, 12740, 12738, 62582, 50948, 57308, 5816, 70977, 65888, 68329]"
menu providing different buttons to change the settings and to get more information,"[68952, 51275, 1671, 1380, 25027, 50241, 50593, 45304, 60360, 40104, 67334, 41333, 66979, 21573, 5706, 29729, 23123, 36064, 16204, 60624]"
live breaking news video with another top stories article and video,"[32890, 37498, 68520, 26446, 3322, 71210, 3319, 24015, 68527, 56755, 37740, 37741, 5238, 16808, 30709, 28430, 49053, 803, 16087, 63264]"
Weekday digest for meal planning,"[6044, 5270, 5262, 5265, 5267, 5260, 66540, 66527, 66544, 66532, 29388, 29390, 48742, 48751, 3450, 15688, 4834, 4842, 4833, 4316]"
Buy atlanta falcons jersey,"[23356, 7591, 23355, 7593, 21302, 25062, 7590, 43251, 17533, 17522, 17404, 43110, 59069, 40660, 36628, 32411, 19720, 62503, 17828, 49463]"
Sidebar with homepage and other options,"[55493, 55494, 55492, 3573, 30733, 17819, 37795, 30941, 17057, 41355, 37797, 36460, 67559, 18457, 67553, 18455, 45615, 48902, 30463, 67561]"
video show of a tattoo,"[51384, 26674, 26675, 60584, 60585, 31044, 23419, 21753, 28986, 28985, 28979, 51375, 46962, 60587, 12687, 46964, 37741, 70825, 70826, 28430]"
Country code listing,"[7300, 37446, 70727, 7952, 7953, 33194, 67583, 63633, 4238, 4243, 69254, 63630, 69267, 51324, 69258, 20638, 69277, 24220, 20640, 69265]"
"book reader with ""Become a Member"" button","[40696, 40693, 1078, 5606, 50967, 70606, 52623, 52619, 13004, 13012, 13003, 13010, 12997, 6289, 6290, 40932, 40930, 50327, 59341, 7191]"
choise of interest,"[5725, 31261, 9292, 10113, 1627, 62106, 31253, 2849, 66440, 50321, 2194, 64828, 62098, 62104, 66380, 65473, 9281, 9286, 9398, 47712]"
Healthy Food options to add in daily Plan,"[55222, 13727, 29389, 66527, 66538, 66544, 66532, 8328, 13173, 30133, 19171, 13722, 30246, 57637, 71635, 41103, 57626, 60609, 60611, 60613]"
Chinese salad recipes,"[14279, 25399, 43427, 917, 70038, 60444, 10057, 8167, 6395, 43431, 10064, 12314, 59014, 29838, 43426, 59927, 59930, 17378, 56501, 30057]"
my net diary with many options,"[8337, 8370, 8367, 8349, 8329, 22500, 12109, 42408, 34196, 39243, 63734, 36671, 7108, 30157, 18020, 30158, 30161, 22830, 22828, 59229]"
"saving items with complete , complete this group manually or exit","[43202, 43209, 32270, 45975, 56936, 23762, 1229, 44357, 16566, 32190, 32194, 36136, 63756, 69703, 25973, 24733, 24735, 53549, 29583, 33303]"
"social app with ask me, gender, ask me, chat options","[5983, 5976, 50314, 46259, 1623, 11648, 31005, 12273, 55007, 2452, 27112, 55011, 13174, 19646, 59474, 10959, 55008, 57095, 57091, 57093]"
Weather details for city with option in Celsius and Fahrenheit,"[32454, 2768, 14852, 13974, 38916, 68745, 55633, 37413, 43248, 28770, 68867, 29491, 68743, 62291, 19707, 67673, 38374, 34569, 47122, 24375]"
menu to choose between different options for organising ebooks,"[32557, 67678, 5231, 70976, 32544, 32549, 32551, 19705, 48731, 50835, 2270, 35887, 44864, 22082, 47521, 1250, 2274, 45959, 45956, 49221]"
