Nummer;Rico ID;Include;Clear Funct.;English;NSFW;Error In GUI;Religious;Too Simple
191;19028;No;Yes;Yes;Yes;No;No;No
25;19228;Yes;Yes;Yes;No;No;No;No
51;19925;Yes;Yes;Yes;No;No;No;No
60;19926;No;Yes;Yes;No;Yes;No;No
84;20488;No;No;Yes;No;No;No;Yes
312;21070;Yes;Yes;Yes;No;No;No;No
10;21128;Yes;Yes;Yes;No;No;No;No
15;21165;No;No;Yes;No;No;No;Yes
99;21224;No;Yes;Yes;No;No;No;Yes
90;21807;No;Yes;Yes;No;No;No;Yes
130;22072;Yes;Yes;Yes;No;No;No;No
152;22076;No;No;Yes;No;No;No;Yes
72;22182;Yes;Yes;Yes;No;No;No;No
154;22259;No;No;Yes;No;No;No;Yes
266;22354;No;No;Yes;No;No;No;Yes
232;22514;No;Yes;Yes;Yes;No;No;No
328;22532;Yes;Yes;Yes;No;No;No;No
282;22534;Yes;Yes;Yes;No;No;No;No
138;22840;No;No;Yes;No;No;No;Yes
226;23073;No;Yes;Yes;No;No;No;Yes
230;23128;No;Yes;No;No;No;No;No
346;23395;No;No;Yes;No;No;No;Yes
231;23616;Yes;Yes;Yes;No;No;No;No
264;23627;No;Yes;Yes;No;No;No;Yes
38;23977;No;Yes;Yes;No;No;No;Yes
325;24041;No;Yes;No;No;No;No;Yes
143;24174;No;No;Yes;No;No;No;Yes
85;24210;Yes;Yes;Yes;No;No;No;No
339;24301;Yes;Yes;Yes;No;No;No;No
243;24615;No;No;Yes;No;No;No;Yes
236;24737;No;No;Yes;Yes;Yes;Yes;No
146;24742;No;Yes;Yes;No;Yes;No;No
76;24835;No;Yes;No;No;No;No;No
298;25416;Yes;Yes;Yes;No;No;No;No
48;25623;No;Yes;Yes;No;No;No;Yes
322;25899;No;No;Yes;No;No;No;Yes
345;25948;No;No;Yes;No;No;No;No
153;26005;No;No;Yes;No;No;Yes;No
8;26041;No;No;Yes;No;No;No;Yes
245;26109;No;Yes;Yes;No;No;No;Yes
274;26270;Yes;Yes;Yes;No;No;No;No
161;26373;No;No;Yes;No;No;No;Yes
196;26458;Yes;Yes;Yes;No;No;No;No
268;26828;No;No;Yes;No;No;No;Yes
323;27680;No;Yes;Yes;No;No;No;Yes
242;27877;No;No;Yes;No;No;No;Yes
350;27881;No;Yes;Yes;No;No;No;Yes
340;28013;Yes;Yes;Yes;No;No;No;No
44;28271;Yes;Yes;Yes;No;No;No;No
174;28348;No;Yes;Yes;No;Yes;No;Yes
170;28653;No;Yes;Yes;No;Yes;No;Yes
19;28798;No;Yes;Yes;No;Yes;No;No
295;28918;Yes;Yes;Yes;No;No;No;No
167;29039;No;No;Yes;No;No;No;Yes
132;29310;No;Yes;Yes;No;No;No;Yes
240;29323;Yes;Yes;Yes;No;No;No;No
74;29356;Yes;Yes;Yes;No;No;No;No
327;29406;No;Yes;Yes;No;No;No;Yes
217;29490;No;Yes;No;No;No;No;No
105;29595;No;Yes;Yes;No;No;No;Yes
304;29637;Yes;Yes;Yes;No;No;No;No
222;29790;Yes;Yes;Yes;No;No;No;No
279;29838;No;Yes;Yes;No;No;No;Yes
212;29983;No;Yes;Yes;No;Yes;No;No
55;30144;Yes;Yes;Yes;No;No;No;No
335;30165;No;Yes;Yes;No;No;No;Yes
321;30906;No;Yes;Yes;No;No;No;Yes
56;31343;No;Yes;Yes;No;Yes;No;Yes
338;31860;No;No;Yes;No;No;No;Yes
39;32063;No;Yes;Yes;No;No;Yes;No
22;32121;No;No;No;No;No;No;Yes
32;32411;No;Yes;Yes;No;No;No;Yes
79;32453;No;No;Yes;No;No;No;Yes
202;32659;No;Yes;Yes;No;No;No;Yes
94;32708;No;Yes;Yes;No;Yes;No;No
218;32930;Yes;Yes;Yes;No;No;No;No
16;33061;Yes;Yes;Yes;No;No;No;No
305;33226;Yes;Yes;Yes;No;No;No;No
126;33345;Yes;Yes;Yes;No;No;No;No
188;33575;Yes;Yes;Yes;No;No;No;No
20;33770;No;No;Yes;No;Yes;No;Yes
151;33988;No;No;Yes;No;No;No;No
145;34128;Yes;Yes;Yes;No;No;No;No
331;34365;No;No;Yes;No;No;No;No
139;34366;Yes;Yes;Yes;No;No;No;No
271;34381;No;Yes;Yes;No;No;Yes;No
58;34670;Yes;Yes;Yes;No;No;No;No
315;34712;Yes;Yes;Yes;No;No;No;No
117;34910;No;Yes;Yes;Yes;No;No;No
142;34938;Yes;Yes;Yes;No;No;No;No
301;35067;No;No;Yes;No;No;No;No
343;35405;No;Yes;Yes;No;Yes;No;No
263;35425;No;No;Yes;No;No;No;Yes
11;35543;No;Yes;Yes;No;Yes;No;No
34;35576;Yes;Yes;Yes;No;No;No;No
319;35617;No;No;Yes;No;No;No;No
140;35918;Yes;Yes;Yes;No;No;No;No
223;35996;No;No;Yes;No;Yes;No;Yes
173;36311;No;Yes;Yes;No;No;No;Yes
211;36668;No;No;Yes;No;No;No;No
187;36891;No;No;Yes;No;No;No;No
2;36915;No;Yes;Yes;No;No;No;Yes
225;37394;Yes;Yes;Yes;No;No;No;No
120;37791;No;Yes;Yes;No;No;No;Yes
157;38097;No;Yes;Yes;No;No;No;Yes
159;38344;No;No;Yes;No;Yes;No;Yes
227;38665;Yes;Yes;Yes;No;No;No;No
310;38729;Yes;Yes;Yes;No;No;No;No
332;38846;No;No;Yes;Yes;No;No;Yes
175;39071;No;No;Yes;No;No;No;No
203;39167;Yes;Yes;Yes;No;No;No;No
61;39193;No;Yes;Yes;No;Yes;No;No
7;39605;No;Yes;Yes;No;Yes;No;No
149;39860;Yes;Yes;Yes;No;No;No;No
133;40069;No;No;Yes;No;Yes;No;Yes
66;40095;No;No;Yes;No;No;No;Yes
122;40214;No;Yes;Yes;No;Yes;No;No
46;40245;No;No;Yes;No;No;No;Yes
89;40532;No;No;Yes;No;No;No;Yes
291;40549;No;Yes;Yes;No;Yes;No;No
183;40659;Yes;Yes;Yes;No;No;No;No
184;40691;No;No;Yes;No;No;No;Yes
123;41174;Yes;Yes;Yes;No;No;No;No
41;41544;No;Yes;Yes;No;No;No;Yes
178;41584;Yes;Yes;Yes;No;No;No;No
216;41948;Yes;Yes;Yes;No;No;No;No
265;42028;No;Yes;No;No;No;No;No
197;42818;No;Yes;Yes;No;Yes;No;No
88;42825;Yes;Yes;Yes;No;No;No;No
69;43062;No;Yes;Yes;Yes;No;No;No
307;43118;Yes;Yes;Yes;No;No;No;No
207;43493;Yes;Yes;Yes;No;No;No;No
250;43645;Yes;Yes;Yes;No;No;No;No
18;43761;No;Yes;Yes;Yes;Yes;No;No
57;43863;No;Yes;Yes;Yes;No;No;No
36;43890;No;No;Yes;No;No;No;Yes
107;43996;No;Yes;Yes;Yes;No;No;No
208;44143;No;Yes;Yes;No;No;No;Yes
98;44713;No;No;Yes;No;Yes;No;No
119;44881;Yes;Yes;Yes;No;No;No;No
290;44885;No;Yes;Yes;No;No;No;Yes
67;44894;No;Yes;Yes;No;No;No;Yes
113;45363;No;Yes;Yes;No;No;Yes;No
186;45437;No;No;Yes;No;No;No;Yes
40;45501;No;Yes;Yes;No;No;No;Yes
235;45569;No;Yes;Yes;No;No;No;Yes
349;45600;Yes;Yes;Yes;No;No;No;No
255;45684;No;No;Yes;No;No;No;No
17;45737;Yes;Yes;Yes;No;No;No;No
296;45824;Yes;Yes;Yes;No;No;No;No
239;46554;Yes;Yes;Yes;No;No;No;No
95;47087;No;No;Yes;No;No;No;Yes
116;47530;Yes;Yes;Yes;No;No;No;No
9;47546;No;Yes;Yes;No;Yes;No;No
135;47890;Yes;Yes;Yes;No;No;No;No
205;47964;Yes;Yes;Yes;No;No;No;No
131;48132;No;Yes;Yes;No;Yes;No;Yes
297;48507;Yes;Yes;Yes;No;No;No;No
314;48749;No;Yes;Yes;No;No;No;Yes
49;48945;No;Yes;Yes;No;No;No;Yes
313;48952;No;Yes;Yes;No;No;No;Yes
341;49232;Yes;Yes;Yes;No;No;No;No
109;49337;No;No;Yes;No;No;No;No
193;49405;No;Yes;Yes;No;Yes;No;Yes
337;49409;No;No;Yes;No;No;No;No
286;49413;Yes;Yes;Yes;No;No;No;No
104;49591;Yes;Yes;Yes;No;No;No;No
317;49616;Yes;Yes;Yes;No;No;No;No
281;49862;No;Yes;Yes;Yes;No;No;No
194;50024;No;Yes;No;No;No;Yes;Yes
137;50094;Yes;Yes;Yes;No;No;No;No
260;50225;No;No;Yes;No;No;No;No
28;50346;Yes;Yes;Yes;No;No;No;No
215;50416;Yes;Yes;Yes;No;No;No;No
209;50738;Yes;Yes;Yes;No;No;No;No
256;51074;Yes;Yes;Yes;No;No;No;No
348;51334;Yes;Yes;Yes;No;No;No;No
204;51340;Yes;Yes;Yes;No;No;No;No
63;51979;Yes;Yes;Yes;No;No;No;No
195;52083;No;Yes;Yes;No;Yes;No;No
201;52140;Yes;Yes;Yes;No;No;No;No
165;52278;Yes;Yes;Yes;No;No;No;No
172;52338;No;Yes;Yes;No;No;No;Yes
294;52757;Yes;Yes;Yes;No;No;No;No
31;53263;Yes;Yes;Yes;No;No;No;No
80;53596;No;No;Yes;No;No;No;No
326;53720;No;Yes;Yes;No;Yes;No;No
219;53821;Yes;Yes;Yes;No;No;No;No
176;54050;No;Yes;Yes;No;No;No;Yes
127;54064;No;Yes;Yes;Yes;No;No;No
258;54437;No;No;Yes;No;No;No;Yes
213;54927;Yes;Yes;Yes;No;No;No;No
251;55553;No;No;Yes;No;No;No;No
177;55673;No;Yes;Yes;No;No;No;Yes
112;56762;No;No;Yes;No;No;No;Yes
77;56861;No;Yes;Yes;No;Yes;No;No
254;56931;No;Yes;Yes;No;No;No;Yes
121;56987;Yes;Yes;Yes;No;No;No;No
199;57045;Yes;Yes;Yes;No;No;No;No
342;57211;No;No;Yes;No;Yes;No;No
129;57394;Yes;Yes;Yes;No;No;No;No
114;57649;No;No;Yes;No;No;No;No
118;57773;Yes;Yes;Yes;No;No;No;No
115;58184;No;No;Yes;No;No;No;No
33;58305;Yes;Yes;Yes;No;No;No;No
247;58428;No;No;Yes;No;No;No;No
300;59109;Yes;Yes;Yes;No;No;No;No
198;59175;No;Yes;Yes;No;No;No;Yes
224;59200;No;Yes;Yes;No;No;No;Yes
347;59212;No;Yes;Yes;No;No;No;Yes
43;59234;No;Yes;Yes;No;No;No;Yes
318;59932;Yes;Yes;Yes;No;No;No;No
148;59948;No;Yes;No;No;Yes;No;No
329;60074;Yes;Yes;Yes;No;No;No;No
180;60095;No;Yes;Yes;Yes;No;No;No
106;60174;No;Yes;Yes;No;No;No;Yes
1;60260;Yes;Yes;Yes;No;No;No;No
50;60477;No;Yes;Yes;No;No;No;Yes
233;60507;Yes;Yes;Yes;No;No;No;No
189;60554;Yes;Yes;Yes;No;No;No;No
253;60772;Yes;Yes;Yes;No;No;No;No
75;61579;Yes;Yes;Yes;No;No;No;No
37;61778;No;No;Yes;No;Yes;No;Yes
229;61816;Yes;Yes;Yes;No;No;No;No
134;62022;No;Yes;Yes;No;No;No;Yes
283;62095;No;Yes;Yes;Yes;No;No;No
27;62215;Yes;Yes;Yes;No;No;No;No
192;62248;No;Yes;Yes;No;No;No;Yes
179;62483;No;No;Yes;No;No;No;No
237;62580;Yes;Yes;Yes;No;No;No;No
111;62615;Yes;Yes;Yes;No;No;No;No
162;62917;No;Yes;Yes;No;No;No;Yes
21;63189;Yes;Yes;Yes;No;No;No;No
181;63773;Yes;Yes;Yes;No;No;No;No
45;63999;Yes;Yes;Yes;No;No;No;No
244;64013;No;No;No;No;No;No;No
68;64307;No;Yes;Yes;No;No;No;Yes
96;64407;Yes;Yes;Yes;No;No;No;No
221;64484;Yes;Yes;Yes;No;No;No;No
5;64545;No;Yes;Yes;No;Yes;No;Yes
285;64911;No;Yes;Yes;No;No;No;Yes
156;65009;Yes;Yes;Yes;No;No;No;No
287;65045;Yes;Yes;Yes;No;No;No;No
6;65177;Yes;Yes;Yes;No;No;No;No
54;65240;No;Yes;Yes;No;No;No;Yes
303;66039;Yes;Yes;Yes;No;No;No;No
272;66317;No;Yes;Yes;No;Yes;No;No
280;66742;Yes;Yes;Yes;No;No;No;No
316;66798;Yes;Yes;Yes;No;No;No;No
4;67507;Yes;Yes;Yes;No;No;No;No
102;67536;No;Yes;Yes;No;No;No;Yes
169;67865;No;Yes;Yes;No;Yes;No;Yes
248;68104;No;Yes;Yes;No;No;No;Yes
29;68152;Yes;Yes;Yes;No;No;No;No
30;68301;No;Yes;Yes;No;Yes;No;No
3;68996;Yes;Yes;Yes;No;No;No;No
164;69188;No;Yes;No;No;No;No;No
24;69249;Yes;Yes;Yes;No;No;No;No
246;69312;Yes;Yes;Yes;No;No;No;No
141;69340;Yes;Yes;Yes;No;No;No;No
309;69665;No;No;Yes;No;No;No;Yes
86;69694;No;Yes;Yes;No;No;No;Yes
81;69817;Yes;Yes;Yes;No;No;No;No
97;69932;Yes;Yes;Yes;No;No;No;No
259;70453;No;Yes;Yes;Yes;No;No;No
293;70614;No;No;Yes;No;Yes;No;No
302;70747;No;No;Yes;No;Yes;No;Yes
158;71153;Yes;Yes;Yes;No;No;No;No
93;71396;No;No;No;No;No;No;No
62;71457;No;Yes;No;No;No;No;No
292;71739;No;Yes;Yes;No;Yes;No;No
166;71884;No;No;Yes;No;No;No;No
275;71950;No;Yes;Yes;No;Yes;No;No
108;71954;Yes;Yes;Yes;No;No;No;No
306;72074;No;Yes;Yes;No;No;No;Yes
125;72192;Yes;Yes;Yes;No;No;No;No
