Nummer;Rico ID;Include;Clear Funct.;English;NSFW;Error In GUI;Religious;Too Simple
131;48132;No;Yes;Yes;No;Yes;No;No
297;48507;No;Yes;Yes;No;No;No;Yes
314;48749;Yes;Yes;Yes;No;No;No;No
49;48945;No;Yes;Yes;No;No;No;Yes
313;48952;No;Yes;Yes;No;Yes;No;No
341;49232;No;Yes;Yes;No;No;No;Yes
109;49337;No;Yes;Yes;No;No;No;Yes
193;49405;No;Yes;Yes;No;No;No;Yes
337;49409;No;Yes;Yes;No;No;No;Yes
286;49413;Yes;Yes;Yes;No;No;No;No
104;49591;No;Yes;Yes;No;No;No;Yes
317;49616;No;Yes;No;No;No;No;Yes
281;49862;No;No;Yes;Yes;No;No;Yes
194;50024;No;Yes;No;No;No;No;Yes
137;50094;No;Yes;Yes;No;No;No;Yes
260;50225;No;Yes;No;No;No;No;Yes
28;50346;No;Yes;Yes;No;No;No;Yes
215;50416;No;Yes;Yes;No;No;No;Yes
209;50738;No;Yes;Yes;No;No;No;Yes
256;51074;Yes;Yes;Yes;No;No;No;No
348;51334;No;Yes;Yes;No;No;No;Yes
204;51340;No;Yes;Yes;No;No;No;Yes
63;51979;No;Yes;Yes;No;No;No;Yes
195;52083;No;Yes;Yes;No;Yes;No;No
201;52140;Yes;Yes;Yes;No;No;No;No
165;52278;No;Yes;Yes;No;No;No;Yes
172;52338;No;Yes;Yes;Yes;No;No;Yes
294;52757;Yes;Yes;Yes;No;No;No;No
31;53263;No;Yes;Yes;No;No;No;Yes
80;53596;No;Yes;Yes;No;No;No;Yes
326;53720;No;Yes;Yes;No;No;No;Yes
219;53821;Yes;Yes;Yes;No;No;No;No
176;54050;No;Yes;Yes;No;No;No;Yes
127;54064;No;Yes;Yes;Yes;No;No;No
258;54437;No;Yes;Yes;No;No;No;Yes
213;54927;No;Yes;Yes;No;No;No;Yes
251;55553;No;Yes;Yes;No;No;No;Yes
177;55673;No;Yes;Yes;No;No;No;Yes
112;56762;No;No;Yes;No;No;No;Yes
77;56861;No;Yes;Yes;No;Yes;No;No
254;56931;No;Yes;Yes;No;No;No;Yes
121;56987;No;Yes;Yes;No;No;No;Yes
199;57045;No;Yes;Yes;No;No;No;Yes
342;57211;No;Yes;Yes;No;Yes;No;Yes
129;57394;Yes;Yes;Yes;No;No;No;No
114;57649;No;Yes;Yes;No;No;No;Yes
118;57773;No;Yes;Yes;No;No;No;Yes
115;58184;No;No;Yes;No;No;No;Yes
33;58305;No;Yes;Yes;No;No;No;Yes
247;58428;No;Yes;Yes;No;No;No;Yes
300;59109;No;Yes;Yes;No;No;No;Yes
198;59175;No;Yes;Yes;No;No;No;Yes
224;59200;No;No;Yes;No;No;No;Yes
347;59212;No;Yes;Yes;No;No;No;Yes
43;59234;No;Yes;Yes;No;No;No;Yes
318;59932;No;Yes;Yes;No;No;No;Yes
148;59948;No;Yes;No;No;Yes;No;Yes
329;60074;Yes;Yes;Yes;No;No;No;No
180;60095;No;Yes;Yes;No;No;No;Yes
106;60174;No;No;Yes;No;No;No;Yes
1;60260;No;Yes;Yes;No;No;No;Yes
50;60477;No;Yes;Yes;No;No;No;Yes
233;60507;No;Yes;Yes;No;No;No;Yes
189;60554;Yes;Yes;Yes;No;No;No;Yes
253;60772;No;Yes;Yes;No;No;No;Yes
75;61579;No;Yes;Yes;No;No;No;Yes
37;61778;No;No;Yes;No;Yes;No;Yes
229;61816;No;Yes;Yes;No;No;No;Yes
134;62022;No;Yes;Yes;No;No;No;Yes
283;62095;No;Yes;Yes;Yes;No;No;No
27;62215;Yes;Yes;Yes;No;No;No;No
192;62248;No;Yes;Yes;No;No;No;Yes
179;62483;No;Yes;No;No;No;No;No
237;62580;No;Yes;Yes;No;No;No;Yes
111;62615;No;Yes;Yes;No;No;No;Yes
162;62917;No;Yes;Yes;No;No;No;Yes
21;63189;No;Yes;Yes;No;No;No;Yes
181;63773;No;Yes;Yes;No;No;No;Yes
45;63999;No;Yes;Yes;No;No;No;Yes
244;64013;No;Yes;No;No;No;No;Yes
68;64307;No;No;Yes;No;No;No;Yes
96;64407;No;Yes;Yes;No;No;No;Yes
221;64484;No;Yes;Yes;No;No;No;Yes
5;64545;No;Yes;Yes;No;Yes;No;Yes
285;64911;No;Yes;Yes;No;No;No;Yes
156;65009;Yes;Yes;Yes;No;No;No;No
287;65045;No;Yes;Yes;No;No;No;Yes
6;65177;No;Yes;Yes;No;No;No;Yes
54;65240;No;Yes;Yes;No;No;No;Yes
303;66039;No;Yes;Yes;No;No;No;Yes
272;66317;No;Yes;Yes;No;Yes;No;Yes
280;66742;No;Yes;Yes;No;No;No;Yes
316;66798;No;Yes;Yes;No;No;No;Yes
4;67507;No;Yes;Yes;No;No;No;Yes
102;67536;No;Yes;Yes;Yes;No;No;Yes
169;67865;No;Yes;Yes;No;No;No;Yes
248;68104;No;No;Yes;No;No;No;Yes
29;68152;Yes;Yes;Yes;No;No;No;No
30;68301;No;Yes;Yes;No;Yes;No;Yes
3;68996;Yes;Yes;Yes;No;No;No;No
164;69188;No;Yes;No;No;Yes;No;Yes
24;69249;No;Yes;Yes;No;No;No;Yes
246;69312;No;Yes;Yes;No;No;No;Yes
141;69340;No;Yes;Yes;No;No;No;Yes
309;69665;No;Yes;Yes;No;No;No;Yes
86;69694;No;Yes;Yes;No;No;No;Yes
81;69817;No;Yes;Yes;No;No;No;Yes
97;69932;No;Yes;Yes;No;No;No;Yes
259;70453;No;Yes;Yes;Yes;No;No;Yes
293;70614;No;Yes;Yes;No;Yes;No;Yes
302;70747;No;No;Yes;No;Yes;No;Yes
158;71153;No;Yes;Yes;No;No;Yes;Yes
93;71396;No;No;No;No;No;No;Yes
62;71457;No;Yes;No;No;No;No;Yes
292;71739;No;Yes;Yes;No;No;No;Yes
166;71884;No;Yes;Yes;No;No;No;Yes
275;71950;No;Yes;Yes;No;Yes;No;Yes
108;71954;Yes;Yes;Yes;No;No;No;No
306;72074;No;Yes;Yes;No;No;No;Yes
125;72192;No;Yes;Yes;No;No;No;Yes
